,Date,prediction,actual
0,2017-01-01,364942.5242278129,237792
1,2017-01-02,308605.25019428134,255944
2,2017-01-03,338535.2969676256,532948
3,2017-01-04,488604.9868123941,524200
4,2017-01-05,492232.28863103874,515984
5,2017-01-06,490420.3776077777,491688
6,2017-01-07,380221.9102604538,256830
7,2017-01-08,206640.84103924036,198431
8,2017-01-09,404101.8278128952,567454
9,2017-01-10,582725.4320616424,582540
10,2017-01-11,590967.7107495964,585290
11,2017-01-12,590113.1357670501,585012
12,2017-01-13,571243.2083775774,571941
13,2017-01-14,322169.9238128662,292018
14,2017-01-15,292135.8112694025,228344
15,2017-01-16,548440.2600375712,356341
16,2017-01-17,515602.1237787884,604477
17,2017-01-18,593972.6260693967,607921
18,2017-01-19,597740.2192691118,608646
19,2017-01-20,600029.7699403912,599268
20,2017-01-21,405408.0632784143,467506
21,2017-01-22,274203.30564022064,221365
22,2017-01-23,509006.88428402133,593093
23,2017-01-24,597922.1333925575,608366
24,2017-01-25,613211.1661898345,609073
25,2017-01-26,603012.5910573155,614713
26,2017-01-27,585645.9835721627,586079
27,2017-01-28,346060.0327053666,306940
28,2017-01-29,287762.4557080865,223365
29,2017-01-30,575418.0337820053,585895
30,2017-01-31,604042.4480126202,607273
31,2017-02-01,591526.7044552267,615977
32,2017-02-02,604878.0212027282,604528
33,2017-02-03,600531.3628032207,566662
34,2017-02-04,359306.9335985482,300784
35,2017-02-05,296411.2469832301,230857
36,2017-02-06,561931.305762358,585903
37,2017-02-07,602259.9618905634,602915
38,2017-02-08,602409.6034371555,605336
39,2017-02-09,605856.5195092112,596584
40,2017-02-10,559546.9406201094,591340
41,2017-02-11,341563.2011499256,328633
42,2017-02-12,284635.1146467626,242349
43,2017-02-13,565780.7084532976,576276
44,2017-02-14,602054.695854336,617688
45,2017-02-15,595897.4279019982,604002
46,2017-02-16,593359.4471091777,606148
47,2017-02-17,603176.0674128681,606490
48,2017-02-18,384842.23077610135,362572
49,2017-02-19,279541.93410488963,268140
50,2017-02-20,563679.4317684397,457835
51,2017-02-21,535392.3042158857,608814
52,2017-02-22,610131.4236136973,622378
53,2017-02-23,622774.0402785689,616598
54,2017-02-24,592766.2359144688,593843
55,2017-02-25,362689.7064654231,303803
56,2017-02-26,272773.97667998075,234674
57,2017-02-27,576877.1717636138,591709
58,2017-02-28,606642.6919288039,599568
59,2017-03-01,589113.347154744,609844
60,2017-03-02,602700.7049329132,608801
61,2017-03-03,597281.4015091509,598950
62,2017-03-04,364330.18806289136,323545
63,2017-03-05,278556.5897073746,240737
64,2017-03-06,573088.2104615867,577889
65,2017-03-07,597772.4399816394,616894
66,2017-03-08,610369.7272255868,616911
67,2017-03-09,613983.5038004667,614754
68,2017-03-10,585671.7406930625,600080
69,2017-03-11,348010.59814190865,397576
70,2017-03-12,288029.2976653576,235934
71,2017-03-13,560835.710773848,578029
72,2017-03-14,599530.8351242691,596964
73,2017-03-15,589877.0882533416,614749
74,2017-03-16,605255.6583264172,622432
75,2017-03-17,604638.2135253847,601040
76,2017-03-18,365607.6064122766,326132
77,2017-03-19,280316.8389996588,245766
78,2017-03-20,574125.5812611207,567061
79,2017-03-21,592300.8184190243,589789
80,2017-03-22,589991.7278629243,579918
81,2017-03-23,584089.230445981,581350
82,2017-03-24,545578.1207242087,587722
83,2017-03-25,349034.84078392386,286898
84,2017-03-26,267204.9668792188,236544
85,2017-03-27,565940.3727808893,594476
86,2017-03-28,608508.1609724611,614337
87,2017-03-29,587911.5340265855,612460
88,2017-03-30,595827.7741121799,590249
89,2017-03-31,600057.1154062748,605278
90,2017-04-01,396627.1411497444,349671
91,2017-04-02,280711.42279186845,260712
92,2017-04-03,561773.7224908471,606811
93,2017-04-04,612211.8832547069,623073
94,2017-04-05,625333.4799362719,597962
95,2017-04-06,598989.2548660934,629806
96,2017-04-07,571330.0357423425,605396
97,2017-04-08,357301.6123998314,364851
98,2017-04-09,285078.45090541244,274792
99,2017-04-10,560970.1884881258,578325
100,2017-04-11,608056.0077783912,587854
101,2017-04-12,574880.1942383423,618692
102,2017-04-13,604428.3185980618,608786
103,2017-04-14,605434.43465814,551881
104,2017-04-15,363285.54977467656,366100
105,2017-04-16,300522.66176608205,239873
106,2017-04-17,559575.4659994096,602831
107,2017-04-18,611531.0991455466,630334
108,2017-04-19,627485.0455682278,618199
109,2017-04-20,614417.9193950444,618908
110,2017-04-21,578729.8368017897,615490
111,2017-04-22,352124.4894463271,376995
112,2017-04-23,284876.1800340116,270343
113,2017-04-24,563181.2165698409,601372
114,2017-04-25,620578.8567484468,621407
115,2017-04-26,604648.3789332807,618696
116,2017-04-27,603770.1214028746,611450
117,2017-04-28,603884.0802931786,604589
118,2017-04-29,372508.23278309405,293820
119,2017-04-30,285572.12149244547,220098
120,2017-05-01,585111.9301242977,614467
121,2017-05-02,615056.6285697371,626218
122,2017-05-03,618171.4443963319,639324
123,2017-05-04,630075.4093303084,632841
124,2017-05-05,603663.9940257967,633903
125,2017-05-06,357140.17171907425,371172
126,2017-05-07,283165.30558007956,270896
127,2017-05-08,569205.6599832922,594049
128,2017-05-09,613197.4999399334,606969
129,2017-05-10,601472.9077774286,604953
130,2017-05-11,600498.2085328251,620811
131,2017-05-12,589450.3874772564,612534
132,2017-05-13,359132.90285265446,344801
133,2017-05-14,270893.60960868,253538
134,2017-05-15,576840.5296172947,583281
135,2017-05-16,603784.9027357846,631807
136,2017-05-17,615075.6887095422,626971
137,2017-05-18,615619.7325232029,637423
138,2017-05-19,619581.9725383967,597095
139,2017-05-20,369393.0539062172,319617
140,2017-05-21,295611.9917874038,283104
141,2017-05-22,567541.3985923529,611525
142,2017-05-23,623980.4304334968,618860
143,2017-05-24,619747.8994833529,626476
144,2017-05-25,620909.2584372312,638245
145,2017-05-26,586015.108463347,568331
146,2017-05-27,338189.0377611667,372327
147,2017-05-28,321325.75411072373,278866
148,2017-05-29,550756.2226168662,272118
149,2017-05-30,522248.7737867031,593672
150,2017-05-31,586181.4114246666,612291
151,2017-06-01,587156.8951172009,631575
152,2017-06-02,616365.437802434,652150
153,2017-06-03,514078.1262159962,397654
154,2017-06-04,270225.93420791626,311722
155,2017-06-05,481932.5780628193,629386
156,2017-06-06,616347.6613046974,644577
157,2017-06-07,661402.875537321,649989
158,2017-06-08,627619.6334941983,659638
159,2017-06-09,630832.200609222,673631
160,2017-06-10,434775.8683427125,448592
161,2017-06-11,288871.78177690506,357250
162,2017-06-12,514715.8013456892,617348
163,2017-06-13,643922.108187601,625859
164,2017-06-14,621872.1326155066,607997
165,2017-06-15,596520.9926934987,637000
166,2017-06-16,606294.1636580825,605313
167,2017-06-17,365281.4446321428,337022
168,2017-06-18,288580.25240045786,274758
169,2017-06-19,582783.6497675776,605755
170,2017-06-20,620924.8307011127,639659
171,2017-06-21,625048.9263116717,635760
172,2017-06-22,622867.6294548362,610446
173,2017-06-23,593692.5846411586,612081
174,2017-06-24,356004.22628493607,387125
175,2017-06-25,290245.9530264437,417217
176,2017-06-26,541808.0056216419,591459
177,2017-06-27,629829.8706449419,615363
178,2017-06-28,616237.7089335769,600910
179,2017-06-29,598703.3398029357,637256
180,2017-06-30,575285.2157261595,622767
181,2017-07-01,366141.5496484488,395137
182,2017-07-02,275062.2048109472,296230
183,2017-07-03,559277.1359132156,447128
184,2017-07-04,553395.9288020954,316368
185,2017-07-05,440297.27965828776,603543
186,2017-07-06,590751.99405168,645511
187,2017-07-07,615994.2966855764,641762
188,2017-07-08,560537.9447121993,419605
189,2017-07-09,276361.97668483853,326733
190,2017-07-10,416081.047883898,571718
191,2017-07-11,562513.5217199549,604478
192,2017-07-12,637059.6150624752,577776
193,2017-07-13,573526.762236163,618056
194,2017-07-14,602943.6633680612,627238
195,2017-07-15,478341.8049372807,400953
196,2017-07-16,287064.3359479606,304021
197,2017-07-17,497186.19887075946,609447
198,2017-07-18,638529.9557384998,620183
199,2017-07-19,620029.8469255716,617502
200,2017-07-20,604855.6676782221,597554
201,2017-07-21,582087.909283407,627075
202,2017-07-22,361951.28812399507,381476
203,2017-07-23,278937.84436780214,302179
204,2017-07-24,566927.0656508803,629598
205,2017-07-25,640076.1998556256,635151
206,2017-07-26,620961.3820848614,621380
207,2017-07-27,604334.9498451799,633232
208,2017-07-28,614933.1785077751,607041
209,2017-07-29,375202.93460300565,374104
210,2017-07-30,292133.9441536665,283985
211,2017-07-31,569503.8863408342,581767
212,2017-08-01,606082.6609366536,636072
213,2017-08-02,630261.8486161977,667458
214,2017-08-03,654383.6873172671,686201
215,2017-08-04,646683.0537178963,680297
216,2017-08-05,387394.81137669086,442345
217,2017-08-06,291041.603651613,349580
218,2017-08-07,547188.955376327,579146
219,2017-08-08,604864.5624101311,604628
220,2017-08-09,610695.6426501721,602637
221,2017-08-10,598386.8247874379,613013
222,2017-08-11,558304.2130217776,622280
223,2017-08-12,370648.7022047639,386512
224,2017-08-13,268363.0972788036,284923
225,2017-08-14,556451.3210771754,589446
226,2017-08-15,612713.8391678184,576000
227,2017-08-16,563564.0595752522,604308
228,2017-08-17,590466.6494961083,618147
229,2017-08-18,614238.8189112842,617875
230,2017-08-19,421125.7741792053,395213
231,2017-08-20,280860.86984723806,309267
232,2017-08-21,547446.0079420656,555492
233,2017-08-22,588282.3769235685,573290
234,2017-08-23,588461.3866447583,591698
235,2017-08-24,590937.1626615822,615164
236,2017-08-25,562545.6970511973,609471
237,2017-08-26,373433.88134138286,360852
238,2017-08-27,265323.06981030107,272798
239,2017-08-28,559385.4480750263,608866
240,2017-08-29,622279.3972354233,627687
241,2017-08-30,599190.3976884037,641012
242,2017-08-31,611322.9546392262,646078
243,2017-09-01,640986.7299628854,628121
244,2017-09-02,438902.336746186,386020
245,2017-09-03,286572.1434942186,333264
246,2017-09-04,554445.7340737879,264797
247,2017-09-05,476279.867343694,630184
248,2017-09-06,636059.8005180061,648959
249,2017-09-07,641386.941034466,662234
250,2017-09-08,642567.5805515349,668530
251,2017-09-09,559501.5528518185,391042
252,2017-09-10,291878.99209313095,304239
253,2017-09-11,481608.0240767915,633970
254,2017-09-12,623751.7735862434,672084
255,2017-09-13,687079.1399529427,671582
256,2017-09-14,647287.3768444508,692583
257,2017-09-15,664175.1923210919,691985
258,2017-09-16,472940.5989217721,417508
259,2017-09-17,301766.10898193717,307742
260,2017-09-18,550517.0113792717,637850
261,2017-09-19,652663.6717758775,649107
262,2017-09-20,643337.9343516976,656522
263,2017-09-21,635802.501596719,650876
264,2017-09-22,616478.1260167509,644960
265,2017-09-23,365564.06631059945,372357
266,2017-09-24,294028.4312877208,284729
267,2017-09-25,586539.9365442246,633901
268,2017-09-26,639459.3125960976,653555
269,2017-09-27,636570.5863326192,657981
270,2017-09-28,635563.6793415695,668553
271,2017-09-29,638889.6478053927,670284
272,2017-09-30,390660.0596808493,386831
273,2017-10-01,287698.99970522523,293463
274,2017-10-02,582028.46628277,633807
275,2017-10-03,635663.1680849195,655724
276,2017-10-04,650378.0238951296,659257
277,2017-10-05,644503.0534692109,674396
278,2017-10-06,619882.0724947155,665356
279,2017-10-07,370092.0164616406,376612
280,2017-10-08,282262.55512171984,438052
281,2017-10-09,561587.2183745503,621078
282,2017-10-10,651312.0226099044,678797
283,2017-10-11,665436.3123060316,675400
284,2017-10-12,659428.4006464928,669234
285,2017-10-13,617520.0414278507,657898
286,2017-10-14,358495.32172705233,295213
287,2017-10-15,288353.0347882509,272704
288,2017-10-16,602949.9259854257,641170
289,2017-10-17,640510.4857893884,676825
290,2017-10-18,651122.1084141731,686283
291,2017-10-19,655843.6680941731,700250
292,2017-10-20,666552.9642108977,658033
293,2017-10-21,399283.72269004583,385851
294,2017-10-22,302641.3194831908,260515
295,2017-10-23,588237.2030956224,619834
296,2017-10-24,616245.203328684,635447
297,2017-10-25,637989.386834681,656129
298,2017-10-26,645942.6256338358,665039
299,2017-10-27,603126.5240154564,635666
300,2017-10-28,361648.1930028498,338546
301,2017-10-29,288442.8638008833,260819
302,2017-10-30,583173.2675505728,622510
303,2017-10-31,630190.7426252514,626305
304,2017-11-01,601574.587788552,642204
305,2017-11-02,618317.2350167185,653818
306,2017-11-03,642601.551685065,621722
307,2017-11-04,405231.4133840576,319768
308,2017-11-05,298675.91574411094,254856
309,2017-11-06,584668.6846282184,635733
310,2017-11-07,629024.7547802776,646222
311,2017-11-08,646580.2845559269,655531
312,2017-11-09,644972.4904499203,658546
313,2017-11-10,598185.5912025571,593390
314,2017-11-11,345708.30181251466,346734
315,2017-11-12,323346.80316630006,247392
316,2017-11-13,571344.2984319925,623643
317,2017-11-14,633928.3323123753,642914
318,2017-11-15,616274.7789605856,633844
319,2017-11-16,612910.9106405377,636467
320,2017-11-17,624233.2560566664,640840
321,2017-11-18,386409.6355382353,348484
322,2017-11-19,285834.68464282155,269519
323,2017-11-20,584348.2149578631,614655
324,2017-11-21,617546.4533358663,613520
325,2017-11-22,616259.154832378,510776
326,2017-11-23,527076.3862888124,170126
327,2017-11-24,274905.85980021954,341449
328,2017-11-25,344410.7601046413,299888
329,2017-11-26,474141.9225803539,237324
330,2017-11-27,519593.4078165423,598008
331,2017-11-28,590094.0885933265,619613
332,2017-11-29,586639.1141016185,626131
333,2017-11-30,612573.0923531353,635705
334,2017-12-01,490310.19184719026,646724
335,2017-12-02,269376.11129423976,377011
336,2017-12-03,305563.7186603248,278250
337,2017-12-04,517737.1771059539,609564
338,2017-12-05,626817.5127943605,607461
339,2017-12-06,595443.8484389633,611430
340,2017-12-07,593863.2442058623,611199
341,2017-12-08,602148.1424037069,609474
342,2017-12-09,373436.4486255199,331383
343,2017-12-10,279912.71217146516,242866
344,2017-12-11,579439.7492130399,581731
345,2017-12-12,597957.6734219491,584850
346,2017-12-13,588437.2502840459,589157
347,2017-12-14,590668.9851979166,595327
348,2017-12-15,555414.3911244124,577051
349,2017-12-16,347063.10173629224,342877
350,2017-12-17,281637.64185774326,243579
351,2017-12-18,558866.8696454316,556297
352,2017-12-19,591221.3662019819,574746
353,2017-12-20,564079.7011873871,563389
354,2017-12-21,563917.7224142477,543666
355,2017-12-22,548056.7946602479,482898
356,2017-12-23,329358.5787181258,264623
357,2017-12-24,299373.6724539548,169141
358,2017-12-25,535977.8524564281,97518
359,2017-12-26,485513.3381319195,269991
360,2017-12-27,445201.49252837896,342710
361,2017-12-28,394572.63960389793,376152
362,2017-12-29,390527.61115832627,384599
363,2017-12-30,343751.0199457556,225685
364,2017-12-31,221253.14811086655,193919
